Atoms	Optimal	Found	Error	Gen	Time
Atoms	Optimal	Found	Error	Gen	Time
7	-12.52	-12.10	3.33	50	0.00
7	-12.52	-12.24	2.22	50	0.00
7	-12.52	-10.15	18.95	50	0.00
7	-12.52	-10.81	13.62	50	0.00
7	-12.52	-12.26	2.04	50	0.01
7	-12.52	-10.11	19.21	50	0.00
7	-12.52	-12.48	0.33	50	0.00
7	-12.52	-11.56	7.66	50	0.00
7	-12.52	-10.17	18.76	50	0.02
7	-12.52	-12.48	0.32	50	0.00
7	-12.52	-12.37	1.20	50	0.01
7	-12.52	-11.03	11.93	50	0.00
7	-12.52	-12.40	0.94	50	0.02
7	-12.52	-12.52	-0.00	50	0.00
7	-12.52	-10.21	18.46	50	0.02
7	-12.52	-12.52	0.02	50	0.01
7	-12.52	-12.50	0.17	50	0.00
7	-12.52	-11.09	11.39	50	0.02
Atoms	Optimal	Found	Error	Gen	Time
8	-14.68	-14.20	3.25	50	0.00
8	-14.68	-12.81	12.71	50	0.01
8	-14.68	-11.72	20.11	50	0.00
8	-14.68	-11.62	20.82	50	0.00
8	-14.68	-12.75	13.10	50	0.02
8	-14.68	-13.04	11.16	50	0.00
8	-14.68	-14.61	0.45	50	0.01
8	-14.68	-12.39	15.60	50	0.00
8	-14.68	-11.92	18.80	50	0.00
8	-14.68	-14.63	0.34	50	0.02
8	-14.68	-14.68	-0.00	50	0.00
8	-14.68	-13.22	9.91	50	0.02
8	-14.68	-11.64	20.71	50	0.03
8	-14.68	-12.77	13.01	50	0.02
8	-14.68	-13.09	10.80	50	0.01
8	-14.68	-14.66	0.11	50	0.02
8	-14.68	-14.66	0.14	50	0.00
8	-14.68	-12.22	16.71	50	0.01
Atoms	Optimal	Found	Error	Gen	Time
9	-16.85	-16.31	3.26	50	0.01
9	-16.85	-14.89	11.68	50	0.00
9	-16.85	-14.00	16.94	50	0.02
9	-16.85	-13.28	21.19	50	0.01
9	-16.85	-12.96	23.13	50	0.00
9	-16.85	-13.31	21.03	50	0.02
9	-16.85	-16.81	0.29	50	0.00
9	-16.85	-13.89	17.60	50	0.00
9	-16.85	-13.93	17.37	50	0.02
9	-16.85	-16.82	0.21	50	0.00
9	-16.85	-16.81	0.25	50	0.01
9	-16.85	-15.32	9.10	50	0.02
9	-16.85	-11.64	30.96	50	0.03
9	-16.85	-16.04	4.84	50	0.00
9	-16.85	-15.07	10.61	50	0.03
9	-16.85	-16.85	-0.00	50	0.02
9	-16.85	-13.85	17.82	50	0.03
9	-16.85	-15.43	8.47	50	0.02
Atoms	Optimal	Found	Error	Gen	Time
10	-20.08	-19.23	4.21	50	0.01
10	-20.08	-17.68	11.95	50	0.02
10	-20.08	-15.86	20.97	50	0.01
10	-20.08	-14.78	26.39	50	0.00
10	-20.08	-16.13	19.66	50	0.02
10	-20.08	-15.18	24.38	50	0.02
10	-20.08	-20.02	0.26	50	0.01
10	-20.08	-18.42	8.23	50	0.00
10	-20.08	-16.06	19.99	50	0.02
10	-20.08	-20.07	0.05	50	0.02
10	-20.08	-20.07	0.03	50	0.00
10	-20.08	-16.36	18.52	50	0.03
10	-20.08	-12.62	37.12	50	0.03
10	-20.08	-16.57	17.46	50	0.03
10	-20.08	-17.11	14.77	50	0.03
10	-20.08	-20.08	-0.00	50	0.03
10	-20.08	-18.75	6.60	50	0.03
10	-20.08	-17.58	12.41	50	0.02
Atoms	Optimal	Found	Error	Gen	Time
11	-22.31	-21.46	3.81	50	0.01
11	-22.31	-19.27	13.64	50	0.02
11	-22.31	-16.95	24.04	50	0.01
11	-22.31	-17.40	21.99	50	0.02
11	-22.31	-18.39	17.57	50	0.03
11	-22.31	-17.02	23.70	50	0.02
11	-22.31	-22.26	0.25	50	0.00
11	-22.31	-19.70	11.72	50	0.02
11	-22.31	-17.68	20.75	50	0.01
11	-22.31	-22.28	0.15	50	0.00
11	-22.31	-20.15	9.70	50	0.05
11	-22.31	-20.15	9.70	50	0.02
11	-22.31	-17.75	20.43	50	0.05
11	-22.31	-18.37	17.65	50	0.06
11	-22.31	-20.37	8.70	50	0.03
11	-22.31	-22.31	-0.00	50	0.05
11	-22.31	-20.25	9.22	50	0.02
11	-22.31	-18.19	18.49	50	0.05
Atoms	Optimal	Found	Error	Gen	Time
12	-25.53	-25.11	1.65	50	0.01
12	-25.53	-22.47	11.98	50	0.02
12	-25.53	-22.01	13.78	50	0.03
12	-25.53	-19.64	23.05	50	0.02
12	-25.53	-19.29	24.45	50	0.03
12	-25.53	-19.35	24.19	50	0.03
12	-25.53	-25.44	0.35	50	0.02
12	-25.53	-22.71	11.03	50	0.00
12	-25.53	-21.57	15.49	50	0.01
12	-25.53	-25.52	0.01	50	0.05
12	-25.53	-23.00	9.91	50	0.06
12	-25.53	-22.60	11.47	50	0.01
12	-25.53	-19.71	22.79	50	0.06
12	-25.53	-22.96	10.05	50	0.03
12	-25.53	-20.25	20.68	50	0.06
12	-25.53	-25.53	-0.00	50	0.06
12	-25.53	-23.23	8.99	50	0.05
12	-25.53	-22.15	13.23	50	0.05
Atoms	Optimal	Found	Error	Gen	Time
13	-27.75	-26.73	3.69	50	0.03
13	-27.75	-24.46	11.88	50	0.03
13	-27.75	-24.33	12.33	50	0.03
13	-27.75	-21.03	24.24	50	0.03
13	-27.75	-21.24	23.45	50	0.03
13	-27.75	-20.47	26.23	50	0.03
13	-27.75	-27.66	0.32	50	0.02
13	-27.75	-24.46	11.87	50	0.01
13	-27.75	-24.25	12.62	50	0.02
13	-27.75	-27.38	1.34	50	0.03
13	-27.75	-25.12	9.48	50	0.06
13	-27.75	-24.91	10.24	50	0.06
13	-27.75	-21.49	22.59	50	0.06
13	-27.75	-21.93	20.99	50	0.06
13	-27.75	-21.15	23.80	50	0.08
13	-27.75	-27.75	-0.00	50	0.08
13	-27.75	-25.69	7.44	50	0.09
13	-27.75	-24.57	11.46	50	0.08
Atoms	Optimal	Found	Error	Gen	Time
14	-30.98	-29.90	3.51	50	0.03
14	-30.98	-26.15	15.61	50	0.03
14	-30.98	-25.44	17.89	50	0.05
14	-30.98	-23.76	23.30	50	0.03
14	-30.98	-21.25	31.43	50	0.05
14	-30.98	-23.08	25.51	50	0.05
14	-30.98	-30.89	0.31	50	0.02
14	-30.98	-27.20	12.21	50	0.01
14	-30.98	-24.63	20.50	50	0.03
14	-30.98	-30.62	1.17	50	0.09
14	-30.98	-27.35	11.72	50	0.06
14	-30.98	-26.95	13.03	50	0.03
14	-30.98	-23.98	22.60	50	0.09
14	-30.98	-21.56	30.42	50	0.09
14	-30.98	-27.16	12.33	50	0.06
14	-30.98	-30.98	-0.00	50	0.09
14	-30.98	-28.42	8.27	50	0.03
14	-30.98	-25.66	17.19	50	0.09
Atoms	Optimal	Found	Error	Gen	Time
15	-33.23	-33.09	0.44	50	0.05
15	-33.23	-28.85	13.19	50	0.05
15	-33.23	-28.64	13.81	50	0.05
15	-33.23	-24.03	27.68	50	0.05
15	-33.23	-20.51	38.29	50	0.05
15	-33.23	-21.48	35.37	50	0.05
15	-33.23	-33.12	0.33	50	0.03
15	-33.23	-28.75	13.50	50	0.03
15	-33.23	-29.84	10.22	50	0.03
15	-33.23	-33.23	-0.00	50	0.06
15	-33.23	-30.57	8.00	50	0.05
15	-33.23	-29.50	11.22	50	0.06
15	-33.23	-25.59	22.99	50	0.11
15	-33.23	-23.03	30.71	50	0.09
15	-33.23	-21.69	34.73	50	0.12
15	-33.23	-33.22	0.05	50	0.09
15	-33.23	-29.58	11.00	50	0.11
15	-33.23	-30.29	8.87	50	0.14
Atoms	Optimal	Found	Error	Gen	Time
16	-36.45	-33.59	7.85	50	0.05
16	-36.45	-32.87	9.82	50	0.06
16	-36.45	-29.35	19.47	50	0.06
16	-36.45	-22.54	38.16	50	0.06
16	-36.45	-26.96	26.04	50	0.06
16	-36.45	-27.79	23.78	50	0.06
16	-36.45	-36.30	0.41	50	0.03
16	-36.45	-31.46	13.69	50	0.03
16	-36.45	-31.86	12.61	50	0.03
16	-36.45	-34.02	6.68	50	0.14
16	-36.45	-33.13	9.12	50	0.16
16	-36.45	-31.17	14.50	50	0.12
16	-36.45	-23.07	36.70	50	0.12
16	-36.45	-29.42	19.29	50	0.11
16	-36.45	-29.38	19.39	50	0.05
16	-36.45	-36.45	-0.00	50	0.14
16	-36.45	-32.54	10.74	50	0.12
16	-36.45	-32.20	11.68	50	0.17
Atoms	Optimal	Found	Error	Gen	Time
17	-38.69	-36.12	6.65	50	0.08
17	-38.69	-34.36	11.19	50	0.06
17	-38.69	-31.68	18.13	50	0.08
17	-38.69	-28.78	25.63	50	0.08
17	-38.69	-23.37	39.60	50	0.08
17	-38.69	-27.56	28.78	50	0.06
17	-38.69	-38.55	0.38	50	0.05
17	-38.69	-32.65	15.61	50	0.03
17	-38.69	-33.55	13.30	50	0.05
17	-38.69	-38.29	1.04	50	0.11
17	-38.69	-34.46	10.95	50	0.16
17	-38.69	-32.93	14.91	50	0.12
17	-38.69	-31.72	18.02	50	0.11
17	-38.69	-26.30	32.02	50	0.03
17	-38.69	-27.96	27.73	50	0.12
17	-38.69	-38.69	-0.00	50	0.17
17	-38.69	-33.80	12.66	50	0.19
17	-38.69	-34.09	11.89	50	0.19
Atoms	Optimal	Found	Error	Gen	Time
18	-42.01	-37.92	9.74	50	0.09
18	-42.01	-34.40	18.10	50	0.08
18	-42.01	-35.24	16.11	50	0.09
18	-42.01	-24.15	42.50	50	0.08
18	-42.01	-31.29	25.51	50	0.09
18	-42.01	-28.27	32.71	50	0.08
18	-42.01	-41.80	0.49	50	0.05
18	-42.01	-36.77	12.48	50	0.06
18	-42.01	-34.10	18.83	50	0.05
18	-42.01	-38.11	9.28	50	0.23
18	-42.01	-37.61	10.46	50	0.06
18	-42.01	-36.11	14.03	50	0.17
18	-42.01	-29.38	30.07	50	0.09
18	-42.01	-33.65	19.90	50	0.12
18	-42.01	-29.37	30.08	50	0.20
18	-42.01	-42.01	-0.00	50	0.14
18	-42.01	-37.24	11.35	50	0.17
18	-42.01	-34.72	17.36	50	0.20
Atoms	Optimal	Found	Error	Gen	Time
19	-45.26	-43.21	4.53	50	0.11
19	-45.26	-41.23	8.90	50	0.09
19	-45.26	-35.41	21.76	50	0.11
19	-45.26	-30.24	33.18	50	0.09
19	-45.26	-32.91	27.29	50	0.11
19	-45.26	-28.63	36.75	50	0.11
19	-45.26	-44.99	0.59	50	0.06
19	-45.26	-37.99	16.06	50	0.05
19	-45.26	-36.40	19.57	50	0.06
19	-45.26	-43.57	3.74	50	0.23
19	-45.26	-41.82	7.59	50	0.17
19	-45.26	-37.25	17.70	50	0.25
19	-45.26	-31.49	30.43	50	0.23
19	-45.26	-33.55	25.88	50	0.27
19	-45.26	-28.82	36.32	50	0.28
19	-45.26	-45.26	-0.00	50	0.19
19	-45.26	-38.30	15.38	50	0.22
19	-45.26	-37.04	18.16	50	0.23
Atoms	Optimal	Found	Error	Gen	Time
20	-47.49	-47.28	0.43	50	0.12
20	-47.49	-41.67	12.26	50	0.11
20	-47.49	-36.91	22.27	50	0.12
20	-47.49	-36.47	23.20	50	0.12
20	-47.49	308.72	750.08	50	0.12
20	-47.49	-33.23	30.03	50	0.11
20	-47.49	-47.21	0.59	50	0.08
20	-47.49	-41.00	13.67	50	0.06
20	-47.49	-38.14	19.69	50	0.06
20	-47.49	-47.44	0.10	50	0.25
20	-47.49	-42.78	9.92	50	0.20
20	-47.49	-37.62	20.78	50	0.31
20	-47.49	-37.67	20.67	50	0.28
20	-47.49	161.76	440.62	50	0.23
20	-47.49	-33.64	29.17	50	0.33
20	-47.49	-47.49	-0.00	50	0.23
20	-47.49	-41.89	11.80	50	0.20
20	-47.49	-39.74	16.33	50	0.28
Atoms	Optimal	Found	Error	Gen	Time
21	-50.73	-48.46	4.46	50	0.14
21	-50.73	-43.04	15.14	50	0.14
21	-50.73	-43.05	15.14	50	0.14
21	-50.73	-29.07	42.69	50	0.14
21	-50.73	-26.31	48.14	50	0.14
21	-50.73	-36.16	28.71	50	0.14
21	-50.73	-50.43	0.58	50	0.08
21	-50.73	-45.45	10.40	50	0.06
21	-50.73	-42.72	15.78	50	0.08
21	-50.73	-50.25	0.93	50	0.20
21	-50.73	-44.21	12.85	50	0.33
21	-50.73	-43.87	13.52	50	0.20
21	-50.73	-30.22	40.42	50	0.19
21	-50.73	-26.50	47.75	50	0.12
21	-50.73	-36.29	28.46	50	0.38
21	-50.73	-50.73	-0.00	50	0.27
21	-50.73	-45.83	9.65	50	0.34
21	-50.73	-43.33	14.59	50	0.30
Atoms	Optimal	Found	Error	Gen	Time
22	-52.97	-50.31	5.02	50	0.16
22	-52.97	-47.69	9.97	50	0.16
22	-52.97	-43.93	17.07	50	0.16
22	-52.97	-37.72	28.78	50	0.17
22	-52.97	-39.42	25.58	50	0.16
22	-52.97	-28.68	45.86	50	0.16
22	-52.97	-52.68	0.56	50	0.09
22	-52.97	-47.91	9.55	50	0.08
22	-52.97	-45.77	13.59	50	0.09
22	-52.97	-51.60	2.58	50	0.41
22	-52.97	-48.32	8.78	50	0.30
22	-52.97	-45.33	14.43	50	0.31
22	-52.97	-39.44	25.55	50	0.27
22	-52.97	-39.92	24.63	50	0.44
22	-52.97	-30.18	43.03	50	0.25
22	-52.97	-52.97	-0.00	50	0.31
22	-52.97	-50.31	5.03	50	0.14
22	-52.97	-47.76	9.84	50	0.20
Atoms	Optimal	Found	Error	Gen	Time
23	-56.29	-50.11	10.98	50	0.19
23	-56.29	-50.44	10.40	50	0.19
23	-56.29	-43.04	23.54	50	0.19
23	-56.29	-38.88	30.94	50	0.19
23	-56.29	-40.55	27.96	50	0.19
23	-56.29	-36.70	34.80	50	0.20
23	-56.29	-55.98	0.55	50	0.09
23	-56.29	-49.98	11.20	50	0.09
23	-56.29	-46.56	17.28	50	0.11
23	-56.29	-53.43	5.09	50	0.38
23	-56.29	-52.42	6.88	50	0.14
23	-56.29	-43.69	22.39	50	0.47
23	-56.29	-40.97	27.22	50	0.36
23	-56.29	-43.08	23.47	50	0.14
23	-56.29	-36.87	34.50	50	0.48
23	-56.29	-56.29	-0.00	50	0.23
23	-56.29	-51.39	8.71	50	0.31
23	-56.29	-47.29	15.99	50	0.42
Atoms	Optimal	Found	Error	Gen	Time
24	-59.56	-57.11	4.12	50	0.20
24	-59.56	-53.49	10.20	50	0.22
24	-59.56	-48.19	19.09	50	0.20
24	-59.56	-42.30	28.98	50	0.22
24	-59.56	-31.30	47.44	50	0.22
24	-59.56	-35.78	39.92	50	0.22
24	-59.56	-59.24	0.54	50	0.12
24	-59.56	-52.46	11.93	50	0.11
24	-59.56	-49.84	16.32	50	0.11
24	-59.56	-58.88	1.16	50	0.33
24	-59.56	-54.40	8.67	50	0.53
24	-59.56	-49.40	17.06	50	0.45
24	-59.56	-48.08	19.27	50	0.30
24	-59.56	-31.50	47.11	50	0.52
24	-59.56	-36.57	38.60	50	0.42
24	-59.56	-59.56	-0.00	50	0.33
24	-59.56	-53.51	10.17	50	0.52
24	-59.56	-50.79	14.73	50	0.55
Atoms	Optimal	Found	Error	Gen	Time
25	-61.81	-59.46	3.79	50	0.23
25	-61.81	-54.77	11.38	50	0.22
25	-61.81	-52.96	14.32	50	0.25
25	-61.81	-48.62	21.33	50	0.25
25	-61.81	-31.88	48.42	50	0.23
25	-61.81	-41.28	33.22	50	0.25
25	-61.81	-61.48	0.53	50	0.12
25	-61.81	-55.33	10.49	50	0.14
25	-61.81	-52.49	15.08	50	0.12
25	-61.81	-61.17	1.03	50	0.22
25	-61.81	-55.46	10.26	50	0.42
25	-61.81	-54.18	12.34	50	0.50
25	-61.81	-49.07	20.61	50	0.61
25	-61.81	-32.12	48.04	50	0.34
25	-61.81	-41.37	33.07	50	0.66
25	-61.81	-61.81	-0.00	50	0.33
25	-61.81	-56.80	8.10	50	0.38
25	-61.81	-53.44	13.54	50	0.62
Atoms	Optimal	Found	Error	Gen	Time
26	-65.13	-62.79	3.59	50	0.27
26	-65.13	-57.73	11.36	50	0.28
26	-65.13	-53.49	17.88	50	0.27
26	-65.13	-42.30	35.06	50	0.28
26	-65.13	-34.23	47.44	50	0.28
26	-65.13	-44.04	32.39	50	0.28
26	-65.13	-64.75	0.59	50	0.14
26	-65.13	-58.28	10.52	50	0.14
26	-65.13	-54.03	17.05	50	0.16
26	-65.13	-63.18	3.00	50	0.66
26	-65.13	-59.33	8.91	50	0.50
26	-65.13	-54.92	15.68	50	0.59
26	-65.13	-48.33	25.79	50	0.11
26	-65.13	-35.00	46.26	50	0.34
26	-65.13	-44.21	32.12	50	0.62
26	-65.13	-65.13	-0.00	50	0.27
26	-65.13	-58.75	9.79	50	0.61
26	-65.13	-55.14	15.34	50	0.62
Atoms	Optimal	Found	Error	Gen	Time
27	-68.40	-64.62	5.52	50	0.30
27	-68.40	-57.73	15.59	50	0.31
27	-68.40	-54.29	20.62	50	0.30
27	-68.40	-39.54	42.19	50	0.31
27	-68.40	-47.97	29.87	50	0.31
27	-68.40	-45.29	33.78	50	0.30
27	-68.40	-67.95	0.65	50	0.17
27	-68.40	-59.43	13.10	50	0.16
27	-68.40	-55.19	19.31	50	0.16
27	-68.40	-67.33	1.56	50	0.30
27	-68.40	-59.11	13.58	50	0.61
27	-68.40	-55.70	18.56	50	0.41
27	-68.40	-42.04	38.53	50	0.31
27	-68.40	-48.26	29.44	50	0.78
27	-68.40	-51.39	24.87	50	0.55
27	-68.40	-68.40	-0.00	50	0.44
27	-68.40	-61.30	10.38	50	0.52
27	-68.40	-56.00	18.12	50	0.73
Atoms	Optimal	Found	Error	Gen	Time
28	-70.63	-68.45	3.09	50	0.33
28	-70.63	-60.49	14.36	50	0.34
28	-70.63	-57.77	18.21	50	0.34
28	-70.63	-43.24	38.78	50	0.36
28	-70.63	-43.53	38.37	50	0.34
28	-70.63	-41.73	40.92	50	0.36
28	-70.63	-70.16	0.67	50	0.19
28	-70.63	-63.44	10.18	50	0.17
28	-70.63	-57.76	18.23	50	0.19
28	-70.63	-68.95	2.38	50	0.58
28	-70.63	-64.39	8.85	50	0.42
28	-70.63	-59.87	15.24	50	0.44
28	-70.63	-46.40	34.31	50	0.23
28	-70.63	-45.69	35.32	50	0.31
28	-70.63	-50.33	28.75	50	0.12
28	-70.63	-70.63	-0.00	50	0.52
28	-70.63	-64.40	8.82	50	0.55
28	-70.63	-58.34	17.41	50	0.81
Atoms	Optimal	Found	Error	Gen	Time
29	-73.95	-66.33	10.31	50	0.39
29	-73.95	-65.70	11.16	50	0.39
29	-73.95	-56.18	24.03	50	0.39
29	-73.95	-44.13	40.33	50	0.39
29	-73.95	-44.43	39.92	50	0.39
29	-73.95	-44.87	39.33	50	0.39
29	-73.95	-73.43	0.70	50	0.20
29	-73.95	-66.52	10.05	50	0.20
29	-73.95	-59.10	20.08	50	0.20
29	-73.95	-71.63	3.14	50	0.67
29	-73.95	-66.82	9.64	50	0.67
29	-73.95	-57.42	22.35	50	0.91
29	-73.95	-45.04	39.10	50	0.81
29	-73.95	-45.10	39.02	50	1.05
29	-73.95	-49.46	33.12	50	0.33
29	-73.95	-73.95	-0.00	50	0.50
29	-73.95	-67.05	9.34	50	0.78
29	-73.95	-59.85	19.07	50	0.97
Atoms	Optimal	Found	Error	Gen	Time
30	-77.23	-73.70	4.57	50	0.44
30	-77.23	-70.84	8.27	50	0.41
30	-77.23	-61.33	20.59	50	0.42
30	-77.23	-48.38	37.35	50	0.44
30	-77.23	-48.96	36.61	50	0.42
30	-77.23	-40.59	47.44	50	0.44
30	-77.23	-76.65	0.75	50	0.23
30	-77.23	-66.44	13.97	50	0.23
30	-77.23	-66.82	13.48	50	0.22
30	-77.23	-76.44	1.02	50	0.78
30	-77.23	-72.33	6.34	50	0.52
30	-77.23	-61.92	19.82	50	0.81
30	-77.23	-49.01	36.53	50	0.88
30	-77.23	-52.90	31.50	50	0.41
30	-77.23	-46.39	39.93	50	0.45
30	-77.23	-77.23	-0.00	50	0.48
30	-77.23	-70.64	8.53	50	0.19
30	-77.23	-67.47	12.64	50	0.72
Atoms	Optimal	Found	Error	Gen	Time
31	-79.48	-73.35	7.72	50	0.47
31	-79.48	-69.05	13.12	50	0.47
31	-79.48	-65.15	18.02	50	0.45
31	-79.48	-44.67	43.79	50	0.48
31	-79.48	-44.66	43.81	50	0.45
31	-79.48	-50.58	36.35	50	0.47
31	-79.48	-78.86	0.77	50	0.27
31	-79.48	-69.90	12.06	50	0.25
31	-79.48	-67.55	15.01	50	0.25
31	-79.48	-76.21	4.11	50	1.05
31	-79.48	-71.91	9.53	50	0.38
31	-79.48	-68.81	13.43	50	0.36
31	-79.48	-45.42	42.85	50	0.67
31	-79.48	-46.82	41.09	50	0.59
31	-79.48	-52.55	33.88	50	0.27
31	-79.48	-79.48	-0.00	50	0.53
31	-79.48	-72.89	8.28	50	0.28
31	-79.48	-69.97	11.96	50	0.89
Atoms	Optimal	Found	Error	Gen	Time
32	-82.80	-74.52	10.00	50	0.53
32	-82.80	-72.70	12.19	50	0.52
32	-82.80	-62.80	24.15	50	0.53
32	-82.80	-54.40	34.30	50	0.52
32	-82.80	-37.81	54.33	50	0.53
32	-82.80	-59.68	27.92	50	0.53
32	-82.80	-82.17	0.76	50	0.30
32	-82.80	-72.34	12.63	50	0.28
32	-82.80	-69.10	16.54	50	0.27
32	-82.80	-79.61	3.85	50	0.72
32	-82.80	-74.88	9.57	50	0.73
32	-82.80	-64.05	22.64	50	1.44
32	-82.80	-59.76	27.82	50	0.48
32	-82.80	-40.78	50.75	50	0.86
32	-82.80	-61.89	25.25	50	1.06
32	-82.80	-82.80	-0.00	50	0.47
32	-82.80	-74.99	9.43	50	0.67
32	-82.80	-71.49	13.66	50	0.98
Atoms	Optimal	Found	Error	Gen	Time
33	-86.07	-77.19	10.32	50	0.58
33	-86.07	-68.16	20.81	50	0.56
33	-86.07	-69.97	18.71	50	0.58
33	-86.07	-48.55	43.59	50	0.58
33	-86.07	-56.60	34.25	50	0.58
33	-86.07	-60.89	29.25	50	0.58
33	-86.07	-85.37	0.82	50	0.31
33	-86.07	-76.29	11.36	50	0.33
33	-86.07	-68.60	20.30	50	0.30
33	-86.07	-81.68	5.11	50	0.94
33	-86.07	-74.52	13.42	50	0.66
33	-86.07	-73.07	15.11	50	0.86
33	-86.07	-51.05	40.70	50	0.92
33	-86.07	-57.92	32.71	50	1.34
33	-86.07	-62.97	26.84	50	0.77
33	-86.07	-86.07	-0.00	50	0.42
33	-86.07	-79.25	7.92	50	1.24
33	-86.07	-69.42	19.34	50	1.33
Atoms	Optimal	Found	Error	Gen	Time
34	-88.31	-81.92	7.24	50	0.62
34	-88.31	-78.42	11.20	50	0.64
34	-88.31	-70.68	19.97	50	0.62
34	-88.31	-50.21	43.14	50	0.64
34	-88.31	-50.39	42.94	50	0.61
34	-88.31	-52.58	40.46	50	0.64
34	-88.31	-87.60	0.81	50	0.34
34	-88.31	-79.07	10.47	50	0.34
34	-88.31	-71.05	19.54	50	0.34
34	-88.31	-85.72	2.93	50	1.20
34	-88.31	-79.03	10.51	50	1.11
34	-88.31	-75.31	14.72	50	0.84
34	-88.31	-51.20	42.02	50	1.33
34	-88.31	-50.76	42.52	50	1.47
34	-88.31	-58.49	33.77	50	0.38
34	-88.31	-88.31	-0.00	50	0.34
34	-88.31	-80.18	9.21	50	1.34
34	-88.31	-72.26	18.18	50	1.19
Atoms	Optimal	Found	Error	Gen	Time
35	-91.65	-86.13	6.01	50	0.69
35	-91.65	-83.82	8.53	50	0.70
35	-91.65	-71.53	21.95	50	0.66
